Subgroup,Actual,Predicted,Confidence,Text,Top Features
other,neutral,positive,0.998,@user perfect @user,perfect(-0.109)
other,neutral,positive,0.997,Happy @user oppression day,"happy(-0.426), oppression(-0.100), day(-0.053)"
formal,neutral,positive,0.994,"@user When will Melania do her ""I have a dream"" speech? I'm looking forward to it :)","forward(-0.098), her(-0.048), looking(-0.046)"
formal,positive,neutral,0.994,The Reputation Doctor weighs in on Tony Romo #NFL @user joins @user on #TheMorningRush LISTEN:,"romo(+0.028), joins(+0.022), themorningrush(+0.011)"
other,neutral,positive,0.994,@user @user @user good mans,"good(-0.434), mans(+0.198)"
formal,negative,positive,0.992,Is this the best George soros could come up lots of love,"love(-0.101), best(-0.099), lots(-0.064)"
other,neutral,positive,0.992,AND ALIENS!!!!!1 AND ROBOTS!!!!!!!! SPACE ROBOTS!!!!!!!!!!,"space(+0.549), aliens(+0.185), and(+0.084)"
other,neutral,negative,0.992,Cubs fuck horny ass cougars,"fuck(-0.312), ass(-0.209), horny(-0.018)"
formal,neutral,positive,0.991,"Bannon(https://t.co/yEnY1JX0BI): ""It's the greatest opportunity to rebuild everything..as exciting as the 1930","exciting(-0.204), greatest(-0.132), it(-0.056)"
formal,neutral,positive,0.991,"NICE! It's all about the #innercity. | ""...to making our inner cities great for everyone...""- @user #Riots","great(-0.120), nice(-0.096), all(-0.048)"
formal,negative,neutral,0.989,Melania Trump sues Slovenia journalist over 'escort' claims via @user,"journalist(+0.063), trump(+0.036), via(+0.025)"
formal,neutral,positive,0.989,AMAZING: Folliculitis Decalvans Homeopathic Cure by Dr. Ravi Singhhttps://t.co/SVl7AoW26Y#Homeopathy,"amazing(-0.582), singh(-0.119), cure(-0.055)"
formal,neutral,positive,0.989,Happy Birthday! Can't wait on Dancing with thousands of Jesus? Oh god. I get things to gay marriage?   a spect,"happy(-0.175), wait(-0.139), birthday(-0.074)"
formal,positive,neutral,0.988,#NASA #DeepLearning Program Aims to Ward Off #Asteroid Attack via @user #AI #Space,"space(+0.024), program(+0.022), nasa(+0.022)"
formal,neutral,negative,0.988,Sheikh Othman #Aden police arrested a cell of 6 suspected terrorists allegedly plotting the assassination of a,"arrested(-0.075), suspected(-0.058), allegedly(-0.058)"
formal,neutral,positive,0.988,@user I'm totally looking forward to Yakuza 0 and Persona 5! But after XIII I'm not sure I can ever love again,"love(-0.112), forward(-0.103), ever(-0.048)"
other,neutral,positive,0.986,I'd love your thoughts on this!,"love(-0.384), thoughts(+0.113), this(+0.066)"
formal,neutral,negative,0.986,"#ISIS claims Iraq car-bombing, at least 73 killed.","killed(-0.148), iraq(-0.082), car(-0.069)"
formal,negative,neutral,0.986,"Post-election Trump protest, NYC. 11/13/2016. #ICPwethepeople #flakphotoresistance #lensculturestreets @user","11(+0.027), trump(+0.021), protest(+0.012)"
formal,neutral,positive,0.986,"Good Food's most popular recipes 2016: Best chicken recipes, vegetarian… #Recipe #GoodFood…","good(-0.229), best(-0.172), goodfood(-0.087)"
