Error Type,Subgroup Mainly Affected,Actual Sentiment,Predicted Sentiment,Number of Cases,Percentage of Total Errors,Rate Within Subgroup,Example Text,Possible Reason,Taxonomy Type
Negative to Neutral,formal,negative,neutral,1491,30.2,14.34,,,
Neutral to Positive,formal,neutral,positive,948,19.2,9.12,,,
Neutral to Negative,formal,neutral,negative,855,17.32,8.22,,,
Positive to Neutral,formal,positive,neutral,518,10.49,4.98,,,
Negative to Positive,formal,negative,positive,341,6.91,3.28,,,
Positive to Negative,formal,positive,negative,89,1.8,0.86,,,
Positive to Neutral,emoji-heavy,positive,neutral,89,1.8,12.79,,,
Neutral to Positive,emoji-heavy,neutral,positive,62,1.26,8.91,,,
Negative to Neutral,emoji-heavy,negative,neutral,59,1.2,8.48,,,
Neutral to Negative,emoji-heavy,neutral,negative,26,0.53,3.74,,,
Negative to Positive,emoji-heavy,negative,positive,19,0.38,2.73,,,
Neutral to Positive,slang-heavy,neutral,positive,10,0.2,16.67,,,
Positive to Negative,emoji-heavy,positive,negative,9,0.18,1.29,,,
Negative to Neutral,slang-heavy,negative,neutral,5,0.1,8.33,,,
Neutral to Negative,slang-heavy,neutral,negative,3,0.06,5.0,,,
Negative to Positive,slang-heavy,negative,positive,2,0.04,3.33,,,
Positive to Negative,slang-heavy,positive,negative,2,0.04,3.33,,,
Positive to Neutral,slang-heavy,positive,neutral,1,0.02,1.67,,,
Negative to Neutral,sarcasm,negative,neutral,1,0.02,7.14,,,
Neutral to Negative,sarcasm,neutral,negative,1,0.02,7.14,,,
Neutral to Positive,sarcasm,neutral,positive,1,0.02,7.14,,,
